لری, فارسی
آدم صاف صوفی­یه  , آدم مرتبی است
صاف من تیم سیل که, مستقیم در چشمم نگاه کرد. 
سینشه صاف که  , سینه­اش را صاف کرد.
صبا ای­ره وَ شهر  , فردا به شهر می­رود
تا صبا تا صبا ای­کنه, تا فردا تا فردا می­کند
اُمرو صبا ای­کنه  , امروز و فردا می­کند
تا صبا خدا کریمه  , تا فردا خدا کریم است. 
ای حوننه صحاب وابی, این خانه را صاحب شد
وَ ای صحاب صبر قسم, به این صاحب صبر قسم می­خورم.
وَ ای صحاب چراغ قسم, به این صاحب چراغ قسم می­خورم
وَ ای صحاب عزا قسم, به این صاحب عزا قسم می­خورم
سر صحبته واز کردن , سر صحبت را باز کردن
سر صحبت که وابی شرو که و صحبت, سر صحبت که شد شروع کرد به صحبت کردن.
پشت سرش صحفه نهاده , پشت سر او صفحه گذاشته است
بییک صحل کردن , با هم صلح کردند
جر سر خیش بهزه صحل سر خرمنه , دعوای سر خیش بهتر از صلح سر خرمن است
ای کار صحی نی  , این کار صحیح نیست
صد تمن پیل من جیبشه, صد تومان پول در جیبش است
صداش وجی گرم دری­یا,  صدایش از جای گرم در می­آید
صداته بلند نکه  , صدایت را بلند نکن
صداشه در نیا  , صدایش را در نیاور
صدی سینش وَته نی­یا, صدای سينه­اش به هيچ وجه نمی­آيد
صدا وَ برد راسابی و مُ راس وانبی, . صدا از سنگ بلند شد ولی از من بلند نشد
صداقتاً ای­کاره نکردمه, صداقتاً این کار را نکرده­ام
دندونش مث صدفه, دندانش مثل صدف است
صبر ایوب داره  , صبر ایوب دارد
صبر داشته بو  , صبر داشته باش
صبر خوب چی­یی­یه  , صبر خوب چیزی است
صبر و حوصله داشته بو, صبر و حوصله­ داشته باش
صبر قاصد خدایه  , صبر قاصد خدا است
صرف نی­کنه  , صرف نمی­کند
ای مامله صرفه نداره , این معامله صرفه ندارد
صغیر و کبیرشو رِهتِن سرم, صغیر و کبیرشان بر سرم ریختند
تف وَ سر صغیر و کبیرشو بیا, تف بر صغیر و کبیرشان بیاید
وَ بی صفاتیشه  , از بی صفاتی او است
صفراش وَ جوش اومده, صفرایش به جوش آمده است
زردوش و جوش اومده , زردابش به جوش آمده است
صلا نی ای­کارَه بکنی , صلاح نیست این کار را بکنی
وَ صلاش نی ای­کاره بکنه, به صلاحش نیست این کار را بکند
صلا و مصلحت کردن, صلا و مصلحت کردن
سر پل صراط سر رَهتَه ای­گِرُم , سر پل صراط سر راهت را می­گیرم
سر پل صراط گریبونته ای­گرم, سر پل صراط گریبانت را می­گیرم
صلوات بسی کردن  , صلوات فرستادن
صلی رحم داشتن  , صله­ی رحم داشتن
صندل و پاش که  , صندل به پایش کرد
در صندوقه بهس  , : در صندوق را بست
در صندوقه قلف ای­کنه, در صندوق را قفل می­کند
صندوق کله­ته  , صندوق کهنه
در صندوقه واز که, در صندوق را باز کرد
صندوقه اشکنا  , صندوق را شکست
صندوق چوییه, صندوق چوبی است
صندوق آهنیه  , صندوق آهنی است
بی صورتش که  , بی صورتش کرد.
وَی صورت کار کُه  , به این صورت کار کن
صورت ورداری که  , صورت برداری کرد
ای صورته سیل کُ  , این صورت را ببین
مث صولته  , مثل صولت است
یه صولتی­یه  , یک صولتی است
وَ صهف ویسادن  , به صف ایستادند
صهف بهسن  , صف بستن
صهف بوندیت  , صف ببندید
صیغه وابیدن  , صیغه شدن
صیغه خُندَن  , صیغه خواندن
صیغشه خند  , صیغه­اش را خواند
صیفی کالی ا­ی­کنه  , صیفی کاری می کند
ضامن داره  , . ضامن دارد
ای غذا ضامن جونه, این غذا ضامن جان است
اجرشه ضایه که  , اجرش را ضایع کرد
آدم ضحاکی­یه  , : آدم ضحاکی است
مهلی ضحاکه  , بسیار ضحاک است
ضحاکی کِه  , ضحاکی کرد
ضرب وَه گرهتن  , ادا در آوردن
ضربشه وَه گرهت, ادایش را درآورد
ضربشه وَه گره  , ادایش را درآورد
ضربمه وه نگر  , ادایم را در نیاور
ضربه وَش زه  , به او ضربه زد
صدی ضربشتش اومه, صدای ضربه­ی آن آمد
ضرب دیده  , ضرب دیده  است
وَ ضرب زور وی­کار واداشتش , با ضربه و زور او را به این کار واداشت
خشه ضرری کِه , . خودش را ضرری کرد
ضرر وَ جون وانبو  , ضرر به جان نشود
خشه ضفط نی­کنه  , خودش نگه داری نمی­کند
خشه ضفط ای­کنه  , خودش را نگه می­دارد.
ضهف قلب داشتن  , ضعف قلب داشتن  
امرو ضهف کردم  , امروز ضعف کردم  
ضیف وابیدن  , ضعیف شدن
ضیف کردن  , ضعیف کردن
ضیف وابی  , ضعیف شد
ای طاخچنه خلفت کُه , این طاقچه را خلوت کن
سرش طاسه  , سرش طاس است
کلش طاسه  , کله­اش طاس است
طاقشه خراب که  , طاقش را خراب کرد
طاقشه درس که  , طاقش را درست کرد
طاقتش مث او کُه­یه, طاقتش مانند آن کوه است
طاقت نداره  , طاقت ندارد
خوب طاقت ای­کنه  , خوب طاقت می­کند
طاقت آوُ  , طاقت آورد
یه طاقه پارچه خریدم , یک طاقه پارچه خریدم
طالب سلامتيتم  , طالب سلامتی تو هستم
طاهر کردن  , پاک کردن
طاهرش که  ,  پاکش کرد
طاهرش ای­کنه  , پاکش می­کند
طاهر بیدن  , پاک بودن
دهسته طاهر کُ  , دستت را پاک کن
لباسشه طاهر ای­کنه, لباسش را پاک می­کند
طایر ای ماشی کم باده , طایر این ماشین کم باد است
و طحرش نبی  , به شکلش نبود
ای طحری حرف نزن, به این شکل حرف نزن
طرف ظهر اومه  , طرف ظهر آمد. 
طرف سی مو حرف ای­زه , طرف برای من حرف می­زد
ای طرف و او طرف ای­ره, این طرف و آن طرف می­رود
وَ طرز وُ کار کُه  , به طرز او کارکن
وَ طفیلش نون ای­خره, از طفیل او نان می­خورد
مَه طلب بوشه وت ای­خُه, مگر طلب پدرش را از تو می­خواهد
آدم طمه خومی­یه , آدم طمع کاری است
وَ طمعه انداختن  , به طمع انداختن
خدا حونی آدم طمه کاره تش بزنه, خدا خانه­ی آدم طمع کار را آتش بزند
طناب بازی ای­کنه  , طناب بازی می­کند
طناب پیچ کردن  , طناب پیچ کردن
طناب پیچش که  , طناب پیچش کرد
دورشه طناب کشی که , دورش را طناب کشید
ای طوری کار ای­کنه  , این طوری کار می­کند
طوری وره ای­ره که اينگاری نونه بوش کی­یه , طوری راه می­رود که گويا نمی­داند پدرش کیست
مث طوس مهسه  , مانند طاووس مست است
طوطی وار درس ای­خونه, طوطی وار درس می­خواند
مث طوطی­یه  , مانند طوطی است
طوق غم وَ گردنمِه, حلقه­ی غم به گردن من است
مهلی طول ای­کشه  , خیلی طول می­کشد
اینگار طهام ای­خره  , مثل این است که طعام می­خورد
طهام خردن  , طعام خوردن
طینتش بده  , طینت او بد است
وَطینت بدش مهلومه که هیچ وانی­بو, از طینت بدش معلوم است که چیزی نمی­شود
ظاهر و باطنش یکی­یه, ظاهر و باطنش یکی است
خِشه ظاهر که  ,  خودش را ظاهر کرد
ظاهر وابیدن  , ظاهر شدن
دوسیش ظاهری­یه  , دوستی او  ظاهری است
حونی ظلم خرابه  , خانه­ی ظلم خراب است
ای­کارش ظلمه  ,  این کارش ظلم است
همه جا ظلماته  , همه جا ظلمات است
چه ظلماتي‌يه  , چه ظلماتي است
ترك عادت موجب مرضه, ترك عادت موجب مرض است
عازب بيدن  , عزب بودن
وَ حضورت عارضم, به حضورت عارض هستم
عاشورا وابي  , عاشورا شد
امشو عاشورايه  , امشب عاشورا است
آدم بي عاطفي‌يه  , آدم بي عاطفه‌اي است
عاطفت و كوچو رهته, عاطفه‌ات كجا رفته است
آدم عاطفي‌يه , آدم عاطفي است
عاطله باطله  , عاطل و باطل است
عافيت بو  , عافيت باشد
عاقش كه  , عاقش كرد
اي كار عاقبت نداره, اين كار عاقبت ندارد
آدم عاقلي‌يه  , آدم عاقلي است
عالم و آدم ينه دونن, عالم و آدم اين را مي‌دانند
عالم گر وابيدن  , عالم گير شدن
عالم و آدم خَوَر وابي, عالم و آدم خبر شدند
خدا عالمه  , خدا عالم است
كارش عالي‌يه  , كارش عالي است
عاموزاش آدم خوبي­يه, عموزاده‌اش آدم خوبي است
عاموزي يكن , عموزاده‌ي هم هستند
عاموزا ين  , عموزاده هستند
يه عامي داره  , يك عمه­ دارد
با عامه­ش خوبه  , با عمه­اش خوب است
با عامه­ش بده , با عمه‌اش بد است
عامش پيره  , عمه‌اش پير است
گندم امسال عايدي نداره , گندم امسال عايدي ندارد
هف سر عايله داره , هفت سر عايله دارد
عايله­ش زياده  , عايله‌اش زياد است
عايله‌منده, عايله‌مند است
عبا اي‌پوشه  , عبا مي‌پوشد
عبا وَ ور اي‌كنه  , عبا به تن مي‌كند
عبي سِه  , عباي سياه
عبادت اي‌كنن  , عبادت مي‌كنند
عجب كاري كه  , عجب كاري كرد
عجب آدم نفهمي‌يه, عجب آدم نفهمي است
عجله كار شيطونه  , عجله كار شيطان است
عجله كه  , عجله كرد
عجله اي‌كنه  , : عجله مي‌كند
عجله داره  , عجله دارد
آدم عجولي‌يه , آدم عجولي است
آدم عجوبي‌يه  , آدم اعجوبه‌اي است
عدل من كارش ني  , عدل در كارش نيست
يه عدي شو اومدن, يك عده‌اي از آن‌ها آمدند
عذاب اي‌كشه  , عذاب مي‌كشد
اگر عقل نبو جون در عذابه, اگر عقل نباشد جان در عذاب است
وَ عرش بردن  , به عرش بردن
عريون كردن  , عريان كردن
عريون وابيدن  , عريان شدن
عزاداري اي‌كنه  , عزاداري مي‌كند
خدا عزته زياد كنه, خدا عزتت را زياد كند
خدا عزت و آبرو وَت بده , خدا به تو عزت و آبرو بدهد
عزيز وابيدن  , عزيز شدن
عزيز خم كه سيت بگم, عزيز خودم كه برايت بگويم
عسكشه اي‌گره  , عكسش را مي‌گيرد
عشوه اي‌كنه  , عشوه مي‌كند
عشوه و ناز اي‌كنه  , عشوه و ناز مي­کند
عطاري اومده من ده, عطاري به ده آمده است
عقرب زشه  , عقرب او را زده است
قمر درعقربه , قمر در عقرب است
اوضا قمر در عقربه, اوضاع قمر در عقرب است
عقل رس وابيدن  , عقل رس شدن
عقل رس وابي  , عقل رس شد
عقل و سرش رهته  , عقل از سرش رفته است
عقلشه وَ دهس مردم دا, عقلش را به دست مردم داده 
عقلشه و دهس داده, عقلش را از دست داده است
عقلتونه سر يك بنيت, عقل‌تان را سرهم بگذاريد
عقلم وَ جي ني­رسه , عقلم به جايي نمي‌رسد
عقلش من تيه‌شه  , عقلش در چشمش است
عقلشه دزديده  , . عقلش را دزديده است
سر عقل اومدن  , سر عقل آمدن
وَ عقلش ني‌رسه  , به عقلش نمي‌رسد
عقل جن هم وَش ني‌رسه , عقل جن هم به آن نمي‌رسد
اگر عقل نبو جون در عذابه, اگر عقل نباشد جان در عذاب است
سر بي عقل كدي­يه  , سر بي عقل كدو است
عقيدي هر كسي سي‌خش محترمه, عقيده‌ي هر كسي براي خودش محترم است
وَش زياد علاقه داره, به او زياد علاقه دارد
بالي زمين يه علامتي بزن , بالاي زمين يك علامتي بزن
برد گپو علامت نزدنه, سنگ بزرگ نشانه‌ي نزدن است
اي اور نشوني بارونه , اين ابر علامت باران است
علف زر پا سوز وابيدن, علف زير پا سبز شدن
مه علف خرسه  , . مگر علف خرس است
اي‌گا علفي وابيده  , : اين گاو علفي شده است
علمش زياده  , علم او زياد است
زر علمش ني‌رم  , زير علمش نمي‌روم
من عمارت زندي اي‌كنه, در عمارت زندگي مي‌كند
عمارت خوبي ساخته, عمارت خوبي ساخته است
عمامشه و سرش ورداشت , عمامه‌اش را از سرش برداشت
عمامي سفيد وَ سرشه, عمامه‌ي سفيد بر سر دارد
عمرمه و باد دادي , عمرم را به باد دادي
خدا عمر نخردي وِنه وَ تو بده, خدا عمر نخورده‌ي او را به تو بدهد
هر كه عملش در بغلش, هركه عملش در بغلش است
عوض گلي نداره  , عوض گله ندارد
وَ عهده گرهتن  , به عهده گرفتن
اي‌كار وَ عهدي منه, اين كار بر عهده‌ي من است
عهده دار وابيدن  , عهده دار شدن
آدم عياري‌يه  , آدم عياري است
غاتي پاتي وابي  , قاطي پاطي شد
مث غارچ سوز وابيده , مانند قارچ سبز شده است
من غار زندي اي‌كنه , در غار زندگي مي‌كند
همه جانه غبار گرهته , همه جا را غبار گرفته است
اي حونه غراپ وابي, اين خانه خراب شد
وَ غربت زندي اي‌كنه, در غربت زندگي مي‌كند
غردل غردلي كردن, قلدر قلدري كردن
غردلي اي‌كنه  , قلدري مي‌كند
آسمون غرم تراق اي‌كنه, آسمان رعد و برق می کند
غروس اي‌خونه  , خروس مي‌خواند
دلش وَ غروش اومَدِه, دلش به فرياد آمده است
غريبي اي‌كنه  , غريبي مي‌کند
غشن شكهس خرده, قشون شكست خورده
زمينشه غصب كه  , زمينش را غصب كرد
غصه اي‌خره , غصه مي‌خورد 
غضب اي‌كنه  , غضب مي‌كند
غفتشه اي‌زنه  , خفت آن را می زند
غفت كردن  , خفت کردن 
غفت گرش كُ  , خفت گیرش کن
غِفتشَه کشی  , خفتش را کشید
هوا غفه‌يه  , هوا خفه است
غفه وابيدن  , خفه شدن
چي غل غل اي‌كنه  , چاي غل غل مي‌كند
چي غليظي‌يه  , چاي غليظي است
غمارات من دلشه, غم‌هاي زيادي در دلش است
غنيمت گرهتن  , غنيمت گرفتن
غنيمت آوردن  , غنيمت آوردن
چينه كُ من غوري, چاي را در قوري کن
مث غوله  , مثل غول است
غولي‌يه, غولي است
غهش كردن  , غش كردن
غهش كه افتا  , غش كرد و افتاد
غيب وابيدن  , غيب شدن
فاسد وابيدن  , . فاسد شدن
فاسد بيدن  , فاسد بودن
فاش وابيدن  , فاش شدن
دزيش فاش وابي  , دزدي او فاش شد
فال گوش ويسادن  , فال گوش ايستادن
فال گرهتن  , فال گرفتن
فباره زدن  ,  فواره زدن
فباره بهسن  , فواره زدن
او فباره اي‌زنه  , آب فواره مي‌زند
او فباره اي‌بنده  , آب فواره مي‌زند
فتنه گري اي‌كنه  , فتنه گري مي‌كند،
فتيلي چراغه بكش بالا, فتيله‌چراغ را بالا 
فچ وابيدن  , باز شدن
فِچ کردن  , باز کردن
دهونش فچ وابي  , دهانش باز شد
چيلش فچه  , دهانش باز است
فخس كردن  , فسخ كردن
فخس وابيدن  , فسخ شدن
يه آدمي اومه من فده , يك آدمي وارد حياط شد
فراموش وابيدن  , فراموش شدن
فراموشم وابي  , فراموشم شد
اي ستين تا اوستين فرجه, اين ستون تا آن ستون فرج است
فرز كار اي‌كنه  , فرز كار مي‌كند
فرصت سر خاراندن نداره , فرصت سر خاراندن ندارد 
من فكر بيدن  , در فكر بودن
فرماشت داشتن  , فرمايش داشتن
فرماشت كردن  , فرمايش كردن
فرمون وش دا  , : به او فرمان داد.
فرني درس كرده  , فرني درست كرده است
فرني اي‌خره  , فرني مي‌خورد
فرياد رسي ندارم , فرياد رسي ندارم
فرياد رس  همه خدايه, فرياد رس همه خدا است
فريادم وجي ني‌رسه, فريادم به جايي نمي‌رسد
فريب خردن  , فريب خوردن
فضولي اي‌كنه  , فضولي مي‌كند
فلون فلونش اي­كنم , فلان فلانش مي‌كنم
چينه من فنجون اي‌خره , چاي را در فنجان مي‌خورد
يه فنجون چي وَم دا, يك فنجان چاي به من داد
قاصد بسي كردن  , قاصد فرستادن
قاصد بسي كه  , قاصد فرستاد
قایمش که  , پنهانش کن
قباش آسرو ری نداره, قبایش آستر و رو ندارد. 
قباحت داره ای­کارَه نکُ , قباحت دارد این کار را نکن
قباله وَش دا  , به او قباله داد
قبرمه درس کرده, قرمه درست کرده است
قحطی اومدن  , قحطی آمدن
مه قحطی اومده  , مگر قحطی آمده است
قدمت سرتیم  , قدمت روی چشمم
قدم وَ قدمش اومه, قدم به قدمش آمد
قدم سر تِیی ما بنه, قدم سر چشم ما بگذار
لنگ و قدیفه سیش آوُ , لنگ و قطیفه برای او آورد
قربونِ بند کیفتم , قربان بند کیف تو هستم 
تا پیل داری رفیقتم  , تا پول داری رفیقت هستم
*زِر قرض وابیدن  , زیر قرض شدن
زر قرض وابی  , زیر قرض شد
زر قرض بیدن  , زیر قرض بودن
تاوُ بیا یه قرن طول ای­کشه , تا او بیاید یک قرن طول می­کشد
خدا قسمتت بکنه , خدا قسمتت بکند
ایل من قشلاغه  , ایل در قشلاق است
قشنگ کار ای­کنه  , قشنگ کار می­کند
هر چه قصاب بکشه نه مرداره , هرچه قصاب بکشد مردار نیست
قط وابیدن  , قطع شدن
قط وابی  , قطع شد
قط امید که  , قطع امید کرد
مردم و قطار ویسادن, مردم به قطار ایستادند
وَ قطار رهتن  , به قطار رفتن
قطه قطه کردن  , قطعه قطعه کردن
سگ قلبی­یه  , سگ قلبی است
قلبش درد ای­کنه  , قلبش درد می­کند
قلغ و دهس اومدن  , قلق به دست آمدن
قلغش و دهسم اومه, قلق آن به دستم آمد
قلف بیدن  , قفل بودن
قلف زدن  , قفل زدن
قلف وابیدن  , قفل شدن
مال قلیلی داره  , مال قلیلی دارد
اینگل همه­شو ویه قماشن , این­ها  همه از یک قماشند
قند من دهونش او وابی , قند در دهانش آب شد
قول وَم دا  , به من قول داد
قول مرد یکی یه , قول مرد یکی است 
قولش قوله , قولش قول است 
ر قول زدن  , زیر قول زدن
قول نومه کردن  , قول نامه کردن  
قوم خویش یه­کن  , قوم و خویش هم­اند
قوم ار گوشت آدمه بخره هسشه وِرنی­ده , خویشاونداگر گوشت آدم را بخورد استخوان را دور نمی­اندازد
قهر خدا بالا ای­یا  , قهر خدا بالا می­آید
قُوَم نی­رسه  , قوه­ام نمی­رسد
قوی چراغه بنداز سرش , باتری چراغ را درجایش قرار بده
قوی مالی نداره  , توانایی مالی ندارد
قهره و نوم کسی درومدن , قرعه به نام کسی درآمدن
قیچین کردن  , قیچی کردن
قیچی منش بُ  , قیچی در آن برد
قیچیش که  , آن را قیچی کرد
من خرشت قیسی رهته , در خورش قیسی ریخته است
مث قیطرونه  , مانند قیطران است
من آشیی لباسش قیطون دهته , در حاشیه­ی لباسش قیطان دوخته است
قیمه قیمش که  , قیمه قیمه­اش کرد
قیومت وابیدن  , قیامت شدن
قیومت کردن  , قیامت کردن
یه چویی که من کاتش , چوبی در لگنش فرو برد. 
یه چویی زه سر کاتش , یک چوبی روی لگنش زد
آدم کار کشتی­یه  , آدم کار کشته ای است
کار خوب و دنیا نکردی­یه , در دنیا کار خوب انجام نداده ای
کار وَ کار گذشته  , کار از کار گذشته است
کار ای­کنم کار­هسون , کار می­کنم کارستان
کارَه کی که , کار را کی کرد
وِکه تمومش که , آن­که تمامش کرد
هر کاری و وختش  , هر کاری به وقتش 
همه کاری هیچ کاره , همه کاره­ی هیچ کاره
کاره دهس ای کنه تیه ای ترسه , کار را دست انجام چشم می ترسد
کار تموم وابیدن  , کار تمام شدن 
کار وجی باریک کشیدن, کار به جایی باریک کشیدن
کارشو وجی باریک کشیده , کارشان به جای باریک کشیده است
کار و بن خرابه  , از بن خراب است
وَ کارد اومدن  , به کارد آمدن
کارد وهَسَهخونم رسیده, کارد به استخوانم رسیده است
کاسبی ای­کنه  , کاسبی می­کند
کاسی زر نیم کاسه , کاسه ای زیر نیم کاسه است
کاسی زر نیم کاسه داره , کاسه­ای زیر نیم کاسه دارد
آدم کافری­یه  , آدم کافری است
مث کافوره  , مانند کافور است
وَ سرما کاک وابیدم, از سرما خشک شدم
ای نونل کاک وابیدن , این نان­ها خشک شدند
سیش ای­کالم  ,  برای او می­کارم
دنیا و کامشه , دنیا به کامش است 
کپته بنه وری یک, دهانت را روی هم بگذار
شاخی ای درخت پترو کرده, شاخه­ی اين درخت جوش خورده است
نون کپک ای­زنه  , نان کپک می­زند
کپی مرگته بنه  , کپه­ی مرگت را بگذار
یه کپی تمبکو دارم, مقدار کمی تنباکو دارم
کت دلش خَوَر وابی, گوشه­ی دلش خبر شد
او کُ من کتر  , در  کتری آب بکن
کترهَ بنه سر چاله  , کتری را سر چاله بگذار
کتمون ای­کنه  , کتمان می­کند
کفش کتونی و پاشه, کفش کتانی به پا دارد
کتیره ای فروشه  , کتیرا می­فروشد
بار کج و منزل نی­رسه, بار کج به منزل نمی­رسد
کچل منت و دلاک نداره, کدخدایی می­کند
آدم کذابی­یه  , آدم دروغ­گویی است
مث کراکری ترشه, مانند قراقروت ترش است
رنگش مث کرباس وابیده, رنگش مانند کرباس شده است
پارچی کرپ خریده, پارچه­ی کرپ خریده است
کرته بندی کردن  , کرت بندی کردن
کردش وَ خاک  , او را به خاک سپرد
وَ کردی خش پشیمونه , از کرده­ی خود پشیمان است
مه کفر خدا وابیده, مگر کفر خدا شده است
مث مرغ کرک من حونه نشهسی­یه , مانند مرغ کرچ در منزل نشسته­ای
کرکر پاتیله ای­کرنه , ته دیگِ دیگ را از آن جدا می­کند
کرکر پاتیله خَه  , ته دیگ را خورد.
کرم سر کلون وش بزنه, کرم سرسیاه و سر کبود به تنش بزند
کرم سرکلونه دیم , کرم سر سیاه را دیدم
دورشه کرمنج گرهته, اطرافش را مه گرفته است
ساز و کرنا نهادن, ساز و کرنا راه انداختن
ساز و کرنا نهاده  , ساز و کرنا راه انداخته است
مث کنیه ول نی­کنه, مانند کنه است ول نمی­کند
کروش درد ای­کنه  , آرنجش درد می­کند
کروش اشکهسه  , آرنجش شکسته است
یه کرور آدم جم وابیده, یک کرور آدم جمع شده است
یه کرور پیل داره  , یک کرور پول دارد
دلش کرورات وَه گرهته, دلش کدورت گرفته 
کروراته من دلشه, کدورت در دلش است
کره و کری ایما کوتاتر نیده, کره و کره ی ما کوتاتر ندیده است
دندون کریچه کردن, دندان قروچه کردن
مامِلش کساته  , معامله­اش کساد است
کسات وابیدن  , کساد شدن، 
کسات بیدن  , کساد بودن
کسل بیدن  ,  کسل بودن
کسل وابیدن  , کسل شدن
مه کشتیت غرق وابیده, مگر کشتی­ات غرق شده است
کشک درس کردن  , کشک درست کردن
کشک بی او ای ساهنه, کشک بدون آب می­ساید
کش کاور کردن  , کش کاور ای­کنه  
کش کاور که  , خمیازه کشید
حصب کشی کردن  , تعصّب کشی کردن
کف و چیل آوردن  , کف بر دهان آوردن
کف وَ چیلش ای­یا  , کف از دهانش بیرون می­آید. 
کف دهسمه بو نکردمه, کف دستم را بو نکرده­ام
مث کف دهسه  , مثل کف دست است
یه کف دهسه  , یک کف دست است
کن فیکون ای کنه , کن فیکون می کند
دکلش که , نصفش کرد
آدم کلاشی­یه  , آدم کلاشی­ است
کلاشی ای­کنه  , کلاشی می­کند
کلاک من دهس گرهته, عصا در دست گرفته است
کلوم و دهنم درنومه, کلام از دهنم درنیامد
کلبی درس که  , کلبه­ای درست کرد
هیمی کلفتی­یه  , هیزم کلفتی است
کلو وابیده , دیوانه شده 
لوش کلون وابی  , لبش کبود شد
کلش باد داره  , کله­اش باد دارد
کلش کار نی­کنه  , کله­اش کار نمی­کند
کله و سرش ره  , کلاه سرش رفت
کله­ته وَ هوا بنداز, کلاهت را به آسمان بینداز
کله و سرش نها  , کلاه بر سرش گذاشت
کله تا دِگوش نها و سرش , . کلاه تا دو گوشش بر سرش گذاشت 
مه دنیانَه کله خرده , مگر دنیا را ملخ خورده است
کله رهته و جوزار, ملخ به جوزار رفته 
کله گرمَه سیریه  , ملخ گرمسیری است.
خار ره من پاش , خار درپایش  رفت
گِنینه و گندم کله­کو که , گونی را از گندم لب­ریز کرد
وَ کلیل قلفه واز کُ, با کلید قفل را باز کن
کم کرسشه بگر  , کم و کسر آن را بگیر
کم بخه همیشه بخه, کم بخور همیشه بخور.
کم پرکن, شکم پرکن
کم گسنه شفا خُـ نداره, شکم گرسنه شفا خواه ندارد
کم پتی پرسشی نداره, شکم خالی پرسیدن ندارد
من کماچی چی درس کرده , در قابلمه کوچک غذا درست کرده است
اونه و کمچه وردار, آب را با کفچه بردارد
کمرش اشکهس  , کمرش شکست
کمر ظلم اشکهس, کمر ظلم شکست
کمر گرما اشکهس, کمر گرما شکست
کمر سرما اشکهس , کمر سرما شکست
کمبزه جم ای­کنه  , کمبزه جمع می­کند
چونه کمون که , چوب را کمان کرد
من کمینشه  , در کمینش است
من کمینش بی  , در کمین او بود
من کمینش نشهس, در کمین آن نشست
کمین کِه  , کمین کرد
کنار ای­خره  , کنار می­خورد
وَ کنار سرشه ششت  , با کنار سرش را شست
کنار اومدن  , کنار آمدن
کنایه ای­زنه  , کنایه می­زند
کنجه­یل گوشته زه دم سیخ , کنجه­های گوشت را به سیخ زد
کنجه کنجت ای­کنم , کنجه کنجه­ات می­کنم
من کنج دیوار نشهسه , در کنج دیوار نشسته است
کند و زنجیل و پاش بهسه , کنده و زنجیر بر پایش بسته است
  زمینه ای¬کنه  , زمین را می­کند
شلوارش کنده زده  , شلوارش کنده زده است
آدم کنسی­یه  , آدم کنسی است
کنگر خرده لنگر انداخته, کنگر خورده و لنگر انداخته است
سر یه کنه وا نی­سه , روی يک دندانه نمی­ايستد
کوتی کردن  , کوتاهی کردن
کوتی که  , کوتاهی کرد
کور پیر وابیدن  , کور و پیر شدن
کور و خدا چه ای­خُه دِتا تیی بر, کور از خدا چه می­خواهد دو تا چشم بینا
هر کوری پیش پی خشه بختر ای­بینه , هرکوری جلوی پای خودش را بهتر می­بیند
کور وابیدن , کور شدن
کور پیر وابیدن , کور پیر شدن
کورش که, آن را کور کرد
بدنش کورک زده , بدنش کورک زده است
وکوره دَهره , از کوره در رفت 
کوره سوادی داره  , کوره سوادی دارد
کوفت ای­خره  , کوفت می­خورد،
کوفتشه بچینه  , کوفتش را بچیند
کوفت وابیدن  , کوفت شدن
بدنم کوفت داره  , بدنم کوفت دارد
سازه کوک­که, ساز را کوک کرد
ساهته کوک ای­کنه  , ساعت را کوک می­کند
ای آدمه کوک که  , این آدم را کوک کرد
آدم کوکی­یه  , آدم کوکی است
کوکش که  , کوکش کرد
رادیونه کوک کُ  , رادیو را کوک کن
قیلونه کوک کُ  , قلیان را کوک کن
هوا سرده  , هوا سرد است
دهسم سرد وابیده  , دستم سرد شده است
کولم درد ای­کنه  , کولم درد می­کند
سر کولش سوار وابی, سر کولش سوار شد
یه کول هیمه آوُ, یک کول هیزم آورد
یه کول علف آوُ, یک کول علف آورد
من کومه زندگی ای­کنه, در کومه زندگی می­کند
کومه ای­زنه  , کومه می­زند
وَ کون اُفتا  , از پرتگاه افتاد 
مث که پیکه  , مانند کاه تو خالی است
که نه این خته , کاه مال خودت نیست
کهدون این خته, کاهدان مال خودت است
یعنی که چه  , یعنی چه
په چه ای­کنی, پس چه می­کنی
پا وَ که وابی, nan
که و که نی­رسه, کوه به کوه نمی­رسد
 آدم و آدم ای­رسه , آدم به آدم می­رسد
هاشق وابی و که زه, عاشق شد به کوه زد
کدخدا زاده زن ای­سونه , که خدا زاده زن می گیرد 
خطیر حونی خشه تش ای­زنه , خطیر حونی خشه تش ای­زنه
که خدا کشونی که  , کدخدا کشانی کرد
کر که خدا دور کی بنویه, پسر کدخدا، دختر کدبانو است
بدنش کهیل زده  , بدنش کهیر زده است
دزکی اومه  , دزدکی آمد
کی زنده یه کی مرده , کی زنده است و کی مرده است
من کیچه دیدمش  , در کوچه او را دیدم
من کیچه زه وَ قدم , در کوچه به من برخورد کرد
و کیسی خلیفه بخشیدن, از کیسه­ی خلیفه بخشیدن
کیفش کوکه  , کیفش کوک است، 
سر کیفه  , سر کیف است
کیفور وابیدن  , کیفور شدن
کیک من بدنشه  , کک در بدنش است
یا کیل کمه یا کیال دزه , یا کیل کم است یا کیال دزد است
کی­یه رهته  , کجا رفته است
کی­یه ای­ری, کجا می­روی
گا که نره خیشه وی گرن, گاو که نرود خیش را بر می­دارند
گا درو , گاو در بیا 
گورتی ای­کشم, گوساله­ات را می­کشم
گاش گور آوُ  , گاوش گوساله آورد
